ID,Name,City,State,Rating (YP),Count (YP),Rating (TA),Count (TA),Amenity_Family,Amenity_Alcohol,Amenity_Outdoor,Amenity_Wifi,Amenity_Group,Amenity_Reservation,Amenity_Wheelchair,Years,Address,Website
5589082,Galley & Garden,Birmingham,AL,five,3,4.0,138,NO,YES,YES,YES,NO,YES,YES,10,2220 Highland Ave S,https://www.galleyandgarden.com?y_source=1_nduzotq2mdatntuzlwxvy2f0aw9ulndlynnpdgu%3d
461972318,Twenty Six Restaurant,Birmingham,AL,five,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,18,1218 20th St S,http://oceanbirmingham.com/26
1546947,Lloyd's Restaurant,Birmingham,AL,four,8,3.5,158,YES,NO,NO,NO,YES,NO,YES,87,5301 Highway 280,http://www.lloyds280.com
11138082,Niki's West Steak And Seafood Restaurant,Birmingham,AL,five,7,4.0,340,NO,NO,NO,NO,NO,NO,YES,67,233 Finley Ave W,http://www.nikiswest.com
454753416,Vocelli Pizza,Birmingham,AL,four half,3,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,5479 Highway 280 Ste 126,http://www.vocellipizza.com/birmingham_al
537168490,Highway 55 Burger Shakes and Fries,Birmingham,AL,four,1,N/A,N/A,NO,NO,YES,YES,NO,NO,NO,N/A,437 Green Springs Hwy,https://www.hwy55.com
1894583,Super Oriental Market,Birmingham,AL,N/A,N/A,4.5,133,NO,YES,NO,YES,NO,YES,YES,14,243 W Valley Ave,http://www.superorientalmkt.com
464666605,Sweet Tea Restaurant,Birmingham,AL,N/A,N/A,N/A,N/A,NO,NO,NO,YES,NO,NO,YES,14,2205 3rd Ave S,http://sweettearestaurant.com
24968147,Beef 'O' Bradys,Birmingham,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1477 Gadsden Hwy,N/A
1441884,Steak-Out Charbroiled Delivery,Birmingham,AL,N/A,N/A,N/A,N/A,NO,NO,YES,YES,NO,NO,NO,34,1717 28th Ave S,http://www.wedeliversteaks.com
8899041,The Olive Branch,Birmingham,AL,five,1,4.5,70,NO,YES,YES,NO,NO,NO,YES,19,3236 Cahaba Heights Rd,http://olivebranchbham.com
3048505,Chez Fonfon,Birmingham,AL,four,1,4.5,584,NO,NO,NO,NO,NO,NO,NO,24,2007 11th Ave S,N/A
9346146,Surin West,Birmingham,AL,three half,4,4.0,360,NO,YES,NO,YES,NO,YES,YES,28,1918 11th Ave S,http://www.surinwest.com
457960577,Hot And Hot On Location,Birmingham,AL,five,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,2180 11th Ct S,http://www.hotandhotfishclub.com
480737851,Dixie Fish Company,Birmingham,AL,five,2,N/A,N/A,NO,YES,NO,NO,NO,NO,YES,N/A,101 Resource Center Pkwy,http://dixiefish.com
9520123,Ted's Restaurant,Birmingham,AL,N/A,N/A,4.5,56,NO,NO,NO,YES,NO,NO,YES,94,328 12th St S,http://www.tedsbirmingham.com
3002061,Brio Tuscan Grille,Birmingham,AL,four half,5,N/A,N/A,NO,YES,YES,YES,NO,YES,YES,N/A,591 Brookwood Vlg,http://www.brioitalian.com
18328056,Logan's Roadhouse,Birmingham,AL,three,3,N/A,N/A,NO,YES,NO,NO,YES,YES,YES,33,100 Resource Center Pkwy,http://www.logansroadhouse.com
14556200,Bettola,Birmingham,AL,five,1,4.0,133,NO,YES,YES,NO,YES,YES,YES,12,2901 2nd Ave S,https://www.bettolabhm.com
